emp_id,status,location,level,gender,emp_age,rating,mgr_rating,mgr_reportees,mgr_age,mgr_tenure,compensation,percent_hike,hiring_score,hiring_source,no_previous_companies_worked,distance_from_home,total_dependents,marital_status,education,promotion_last_2_years,no_leaves_taken,total_experience,monthly_overtime_hrs,date_of_joining,last_working_date,department,mgr_id,cutoff_date,turnover,mgr_effectiveness,career_satisfaction,perf_satisfaction,work_satisfaction
E10012,Active,New York,Analyst,Female,25.09,Above Average,Acceptable,9,44.07,3.17,64320,10,70,Consultant,0,14,2,Single,Bachelors,No,2,6.86,1,06/03/2011,NA,Customer Operations,E9335,31/12/2014,0,0.73,0.73,0.73,0.75
E10025,Active,Chicago,Analyst,Female,25.98,Acceptable,Excellent,4,35.99,7.92,48204,8,70,Job Fairs,9,21,2,Single,Bachelors,No,10,4.88,5,23/09/2009,NA,Customer Operations,E6655,31/12/2014,0,0.581,0.72,0.84,0.85
E10027,Active,Orlando,Specialist,Female,33.4,Acceptable,Above Average,6,35.78,4.38,85812,11,77,Consultant,3,15,5,Single,Bachelors,Yes,18,8.55,3,02/11/2005,NA,Customer Operations,E13942,31/12/2014,0,0.77,0.85,0.8,0.87
E10048,Active,Chicago,Specialist,Male,24.55,Acceptable,Acceptable,10,26.7,2.87,49536,8,71,Job Boards,5,9,3,Single,Bachelors,Yes,19,4.76,8,20/05/2011,NA,Customer Operations,E7063,31/12/2014,0,0.24,0.42,0.33,0.85
E10060,Active,Orlando,Analyst,Male,31.23,Acceptable,Acceptable,11,34.28,12.95,75576,12,70,Job Fairs,0,25,4,Single,Bachelors,No,25,8.06,1,21/12/2011,NA,Customer Operations,E5663,31/12/2014,0,0.71,0.78,0.67,0.8
E10061,Inactive,Orlando,Analyst,Male,31.98,Below Average,Above Average,19,34.82,10.88,56904,8,75,Job Boards,8,23,5,Single,Masters,No,15,13.72,7,18/09/2009,11/12/2014,Customer Operations,E4715,31/12/2014,1,0.574,0.88,0.81,0.86
E10065,Active,Chicago,Analyst,Male,24.84,Acceptable,Above Average,21,24.9,4.01,38772,12,72,Social Media,9,17,2,Single,Bachelors,No,10,5.81,2,30/03/2012,NA,Customer Operations,E4955,31/12/2014,0,0.6,0.68,0.57,0.75
E10066,Active,Orlando,Analyst,Male,32.25,Above Average,Above Average,9,35.54,4.21,52320,9,70,Job Fairs,6,16,5,Single,Bachelors,No,20,7.56,10,25/11/2009,NA,Customer Operations,E1149,31/12/2014,0,0.75,0.76,0.74,0.95
E10078,Active,New York,Analyst,Female,29.02,Acceptable,Acceptable,12,33.76,1.27,50940,9,70,Consultant,1,22,2,Single,Bachelors,No,22,7.48,2,21/09/2011,NA,Customer Operations,E12614,31/12/2014,0,0.47,0.33,0.5,0.87
E1008,Inactive,New York,Analyst,Male,30.14,Acceptable,Acceptable,22,30.15,4.87,40380,6,70,Social Media,3,22,5,Single,Bachelors,No,23,8.4,10,20/07/2011,07/12/2014,Customer Operations,E13439,31/12/2014,1,0.609,1,0.8,0.88
E10083,Active,Chicago,Analyst,Female,27.13,Above Average,Acceptable,17,27.95,2.38,57900,11,70,Job Boards,3,18,5,Single,Bachelors,Yes,24,4.59,8,09/07/2009,NA,Customer Operations,E783,31/12/2014,0,0.51,0.5,0.21,0.76
E10086,Inactive,Orlando,Analyst,Male,28.14,Acceptable,Above Average,13,26.56,4.5,70152,7,74,Walk-In,6,11,5,Single,Bachelors,No,2,6,3,14/03/2012,13/02/2014,Customer Operations,E12128,31/12/2014,1,0.66,0.62,0.77,0.82
E10093,Inactive,New York,Analyst,Female,29.75,Above Average,Acceptable,23,38.99,8.18,65640,9,71,Job Fairs,2,34,4,Single,Bachelors,No,13,8.16,1,02/03/2011,20/01/2014,Customer Operations,E548,31/12/2014,1,0.483,0.77,0.77,0.64
E10095,Inactive,New York,Analyst,Male,25.18,Above Average,Acceptable,20,27.69,4.9,47460,12,74,Walk-In,6,36,5,Single,Bachelors,No,22,4.62,3,21/09/2011,30/04/2014,Customer Operations,E7541,31/12/2014,1,0.448,0.77,0.54,0.91
E10103,Active,Chicago,Analyst,Female,28.45,Acceptable,Above Average,21,24.9,4.01,48000,14,72,Job Boards,0,6,2,Single,Bachelors,Yes,25,5.6,4,25/11/2009,NA,Customer Operations,E4955,31/12/2014,0,0.6,0.68,0.57,0.75
